,Sentence,Entity,Sentiment
48,Fantastic customer service and was quoted the best price.,customer service,positive
49,This resulted in two phone calls a lot of wasted time .,time,negative
50,Graham was professional and built great repor\nExplained in great detial and gave a excellent customer service and made everything with ease,customer service,positive
51,The service provided by AXA and the ease of their website is a credit to them.,website,positive
52,Great benefits included well known trusted company and all my documents online.,benefits,positive
53,Excellent cover at at a very competive price.,cover,positive
54,Excellent website sensible and user-friendly.,user,positive
55,very easy to use good price and covered my requirements.,price,positive
56,2 minutes after reaching your website from gocompare I had a phone call from one of your agent who sorted out a new insurance for me.,minutes,positive
57,Completed online with no difficulty and quickly.,online,negative
58,Excellent choice of options to customise your home and contents insurance to suit your needs.,choice,positive
59,Great customer service the guy I spoke with was excellent really impressed with him,service,positive
60,\n\nI was very pleased with my experience with AXA my questions were all answered in full and nothing was too much trouble but it was her depth of knowledge that was impressive.,experience,positive
61,However and this is true for all call centres because the operatives have a script to rattle off time after time they speak very quickly and when an unfamiliar accent is involved it is difficult to understand what is said.,operatives,negative
62,This was the best cover and I still saved money.,cover,positive
63,Very time consuming and frustrating.,time,negative
64,He left a message as I must have been on the phone so called back and although he wasn't available the lady that answered the phone was just as polite and helpful talking me through the policy.,policy,positive
65,should not have to opt out when being overcharged for renewal in a years time.,years time,negative
66,Excellent service with very competitive prices,service,positive
67,yet with saga it didnt matter has i was not at fault put me off really why can one do it and axa couldnt just a moan,saga,negative
68,Excellent helpful staff called frank and jade answered my questions and  made it easy to use AXA,staff,positive
69,web sites are never 100% in clarifying what they really want but a good person to talk to can sort it all out.,person,negative
70,Cheap insurance with excellent customer services.,insurance,positive
71,I found his approach beneficial and in my best interest.,approach,positive
72,Having used GoCompare and Quidco to find the best priced insurance with a premier brand AXA was the best value.,value,positive
73,Easy to use website best deals (even for Premier cover) even over \ comparison\  websites.,deals,positive
74,The customer service was excellent; the lady explained the policy very well and answered all of my queries in an efficient and polite manner.,customer service,positive
75,always stuck with axa for car insurance as they dont seem to penalise existing customers - just switched my house insurance to them hoping they have same approach,axa,positive
76,Spoke to a man called Patrick and he was very nice and helpful would recommend any to your service.,service,positive
77,no reason not to.,reason,negative
78,Good service Craig was very helpful shame no negotiation on price.,service,positive
79,Easy to use web site and clear info would recommend to all,web site,positive
80,However my original quote turned out to be more expensive than I originally expected as when I completed everything and clicked to pay I discovered a previously unmentioned 'deposit' for Â£87.00.,deposit,negative
81,When my employer needed further clarification on the business cover the Axa advisor knew immediately what I needed and got the necessary information to me in just a couple of days.,clarification,positive
82,service was first class.,service,positive
83,Good price easy website to use,price,positive
84,easy to use website and very detailed with the coverage which I why I went with AXA its not all down to the price,price,positive
85,Great customer service-excellent well mannered and well spoken representative.Made things very clear and easy to understand for a first time car insurance purchaser-would definately recommend axa\n,service,positive
86,Thanks great experience competative price.,price,positive
87,Insured my car using axa's online servicevery quick and easy to use.....would highly recommend!,axa,positive
88,After a long search and finally finding the deal that suits and paying the correct deposit I Still cant access my documents after being asked to register several times !,documents,positive
89,Excellent service and price keep up the work,price,positive
90,All went very well with the AXA website except for the cryptogram section which took three attempts before successful.,website,positive
91,simple straight forward setup-good value,value,positive
92,Easy to compare and the package covered more than other insurances.,package,positive
93,... They paid put no problem and their prices are great.,prices,positive
94,Follow up emails from Axa were in my Inbox within minutes of the transaction being completed along with a text message containing the relevant contact details should I ever require them.,transaction,positive
95,Had issues with transferring my 20 years NCD because I still own the van.,issues,positive
96,Clear instruction but some difficulty in downloading the many documents that are necessary to the insurance.,instruction,positive
97,Very quick easy and prices are very competitive would recommend them to everyone and no phone call needed all done online through a mobile phone,prices,positive
98,i bought my insurance online and did not find it difficult it was just a few simple steps and very easy to complete i liked the services they offer,steps,positive
99,Exelent customer service would recommend every time,service,positive
100,Confirmation email arrived immediately and a useful SMS text reminder.,email,positive
101,No problems everything went smoothly as I changed insurance company.,problems,positive
102,smooth service and a great price.,price,positive
103,Easy site and clear instructions.,instructions,positive
104,Was able to look at several options for home insurance and found the web site easy to use.,web site,positive
105,Quick  and easy  no problem s at reasonable  price,price,positive
106,Hey I thought the service was second to none very helpful and efficient I'm glad I joined,service,positive
107,Very happy with service... Nice bloke on the phone friendly and helpful would recommend to anyone thanks!,service,positive
108,I got the good service and I recommend  the company.,company,positive
109,Great cover very competitive price and easy to set up,cover,positive
110,\nmy car insurance is due in october i will most certainly ask\naxa for a quoteall the people i spoke to were very cheerful\nand helpful.,people,positive
111,looked elsewhere and the prices were horrendous.,prices,negative
112,Today I phoned AXA Insurance to pay premium for my car insurance and I received excellent service from Sales Team.,service,positive
113,the website would not accept a payment which caused delay.,payment,negative
114,I know very little about car insurance and the lady I delt with was very helpful and had a lot of patience with me from this experiance I would recommend this company,experiance,positive
115,by far the best quote my existing insurer who ive been with for 12 years wanted Â£680 AXA Â£318  no brainer.,quote,positive
116,Great service very helpful everything was explained well and in an efficient manner,service,positive
117,Very friendly and helpful staff my quote was considerably lower than my own insurance company with better extras.,company,positive
118,Easy to use website with great options to customise the cover.,website,positive
119,The contact via email was great and very quick response time!,response time,positive
120,As a paraglider I need insurance that covers all eventually s and the axa one is the only one that does so brilliant and easy web site to fill in,axa,positive
121,Good price but then hate the way that the call centre staff try to sell you extra cover!!,price,positive
122,Found that it was easy to do but cant understand why you fill in all your details and then have too phone might just have phoned in the first time,time,positive
123,Very good web site and excellent quote.,site,positive
124,Rather disappointed that I phoned a week ago and informed AXA I wished to change vehicles so a new quote was arranged I was on the phone 20 mins and gave my payment details then today I received email sorry to see me go as I wasn't insured!,quote,negative
125,Excellent service no phone calls required the quickest way ever of getting car insurance.,service,positive
126,Purchased car insurance online so easy to do very straight forward and you can add extras on aswell very competitive price.,insurance,positive
127,Ease of following online application and very helpful member of staff when calling call centre.,online,positive
128,I had an existing multi-car policy with axa and insured a third car with no problems.,axa,positive
129,Very user friendly site and I have bought Axa travel ins so many times as not only is the ease of booking great but prices are very competitive.,prices,positive
130,Great value for money and a really simple non-convoluted application process.,value,positive
131,I left Aviva to go for cheaper insurance with Esure what a mistake totally awful experience.,experience,negative
132,I used a comparison site and found that axa insurance was the best quote so I am very pleased with the service and would recommend to friends and family.,axa,positive
133,I did make a telephone contact and the person was really helpful and I have been able to deal with my query.,phone contact,positive
134,Was surprised how much this insurance offered at a much more reasonable cost to my previous insurance.,insurance,positive
135,All done online with minimal fuss good service no issues unlike Privilege who even with phone calls were less than useless,service,positive
136,Good price quoted easy to follow links everything about policy explained easy to make  changes - simple procedure to get my car insured - recommend to all!,procedure,positive
137,NOT happy with the way the price went up from the on line quote just because i brought the start date forward??,quote,negative
138,Very helpful on completing new contract but very disappointed not advised previous policy superseded with new product that gave me approx 1/3 saving - only found out by my own enquiries,contract,positive
139,Excellent service this is the second car I have insured with AXA \nAs I had another vehicle insured with them (Land Rover 110) the lady on the phone told me that I could benefit from 10% multi-car discount and as I am the main driver on both cars that I could benefit from the no claims on the first car.,claims,positive
140,Your web page was easy and straight forward to use.,page,positive
141,Clear explanation of my options and excellent advice.,explanation,positive
142,Good options but not very friendly service,options,positive
143,When I made the policy I felt sure that Costa Rica was not included in the Caribbean however when I called your customer services to check I was told 1) we cannot tell you you have to decide if it is in the Caribbean or not 2) That only when a claim is made will they be able to tell me if Costa Rica is in the Caribbean or not  3) It's up to me to decide.,services,negative
144,easy to use and personal contact answered quickly not like some other companies that I tried to obtain a quote,companies,positive
145,One of the cheapest insurance and it comes from a very established company,company,positive
146,no thanks they should have done that first and not tried ripped me off.,thanks,negative
147,the web page good quote cheaper than old insurance I would buy from them again and recommend friends.,insurance,positive
148,Quick and easy online facility to set up car insurance,facility,positive
149,Great price but upset that my wife's accident that the other side have admitted was there fault has made my quote over thirty pounds more,accident,negative
150,Pleasant young lady who was very clear and helpfull.A long wait to get through but got cover I wanted if only Insurance prices came down occasionally.,prices,positive
151,Right attitude  to a chrisis  very fast service well done,service,positive
152,Quick and efficient quote check followed by the best quote.,quote,positive
153,For the not so young generation who were not brought up with computers it is not always easy to run off the necessary documents when you have purchased insurance.,documents,negative
154,Exelent customer service the team where extreamly helpfull on the phone and made everything simple,service,positive
155,The process for selecting a policy was really easy to use.,policy,positive
156,Had just had a great result in renewing my car insurance with this company which was a lot cheaper than the one I was currently with so decided to get a quote for house insurance with them too which was also more competitive than the price I was paying so changed to go with axa too!,price,positive
157,You were however picked on price not service,price,negative
158,The most competitive price I could find with a half price deal on home assistance.,assistance,positive
159,Through the GoCompare website I purchased car insurance on 02 04 2016 using my credit card.,website,positive
160,everything was ok.well done sales team.keep with good work.,sales team,positive
161,I found the form much simpler to fill in than other web sites and your after sales service ( when I was unable to download the document) was most helpful.,web site,positive
162,User friendly website and good quotes.,website,positive
163,The adviser was great from start to finish very helpfully and answered all my questions.,adviser,positive
164,The service was excellent and easy\nto enter\nI found the price suitable for myself,price,positive
165,Very helpful operator Kay clear speech covered all I needed to know I had spent nearly two  hours on line  going through all processes but was unable to make make payment the fault of santanders security system I  telephoned and Kay was able to sort it all out for me very efficiently I was pleased with the quote and would happily do business with Axa again in the future.,operator,positive
166,Excellent quote & great website,quote,positive
167,just a little problem when paying.,problem,negative
168,Their website was very user friendly except for not liking my password which nobody else found unacceptable.,user,positive
169,\ntried other companies but axa came out tops for us.,axa,positive
170,Lowest compulsory excess for the cover cost.,cover,negative
171,It been great pleasure dealing with the staff was amazing bec I am deaf I use minicom which I use alot and spoken to Christopher he took his time to explain how it goes and I find it relaxing after reading it carefully buy some of word I do not understand but I have someone explain to me better which is good and the service was fantastic,service,positive
172,Good price which is the most important thing to me.,price,positive
173,The website was quite difficult to use  wouldn't except credit cards but got there in the end!,website,negative
174,Good price not much difference between all insurers really this was the lowest that gave me what I want,price,negative
175,Quick efficient service fast response.,service,positive
176,competitive premium.no problems insuring car.easily followed instructions with immediate insurance certificate issued.,insurance certificate,positive
177,I chose AXA on price of basic premium with reasonably priced add ons.,premium,positive
178,Excellent communication friendly staff and easy to navigate website.,staff,positive
179,The operative called Stuart who came from Middlesborough was absolutely brilliant in helping us achieve good cover for our three cars.,cars,positive
180,Good service disappointed on the inability to opt out of continuous payment authority online seems like they hoping I won't bother newsflash I will,service,positive
181,In all honesty I didn't think I dealt with AXA at all - I needed a replacement windscreen so called the appropriate number and dealt with AutoGlass directly from there.,number,negative
182,Easy and swift insurance details - nice and easy online database to navigate.,insurance,positive
183,If all your agents are as good I'm sure that the majority of callers will buy your policies.,policies,positive
184,I found your adviser very very helpful her name is cheryl and the price quoted was very good.,cheryl,positive
185,Website easy to use and insurance good price,price,positive
186,The website wouldn't accept my card details so I had to phone instead which was very annoying,website,negative
187,George sealed the deal talked me through the remaining elements of the policy offered some additional services (which sounded reasonably good value but I wasn't interested) didn't give me the hard sell & closed the call with a congratulations on passing my driving test.,value,positive
188,Usually buy Lloyds/AXA singe trip insurance but found the Lloyds site difficult to access so went direct to AXA.,site,negative
189,The web site is also very limited and unfriendly.,web,negative
190,\nAlso your people were very helpful kind and ready to help without the need for to much detail.,detail,positive
191,Very disappointed that AXA JUST PAssed me over to DASA and didn't want to deal with me anymore.,deal,negative
192,This is the first time I have used AXA for car insurance so it's hard to recommend or say I would buy from them again as its only been one day.,time,negative
193,Water damage to connecting wall in dining room and bedroom.,room,negative
194,do not agree that customers should have to e mail or telephone to opt out of automatic renewal a simple tick box is sufficient,customers,negative
195,Husband was hit from behind non fault 3 days after quote  then because of this my quote went up by almost 100 pounds,quote,negative
196,I know insurance companies have to be sure the claim is valid but when an 81 year old makes his first claim ever for accidentally knocking over a tin of paint we were quite shocked with the formal interview that took place!,companies,negative
197,vey quick only hassle you have is like all companies its the no claims thing why this cannot be just put on a national database like your car tax and insurance ill never know its such a jassle every year getting the old company to send it then forwarding it on,companies,negative
198,Hassle free website/booking and great value.,booking,positive
199,Excellent service following claim made for a water leak on my property.,service,positive
200,Seamless online service and was able to edit policy easily minutes after buying it.,minutes,positive
201,It was the first time I've ever had to make a claim on an insurance policy hopefully it will be my last could not fault service provided and would highly recommend.,service,positive
202,But was upset as I was hit by another driver last year.,driver,negative
203,Following a comparison site search I was phoned (within minutes) from a representative who talked me through the policy and double checked the details I had entered were correct.,representative,positive
204,Easy to use website with various options clearly explained,website,positive
205,The process of purchasing my car insurance was made easy and straight forward.,process,positive
206,its the first time ive got car insurance over the internet i was a little worried it would be a pain to do once i answered the same questions everyone gets when shopping for insurance the price was competitive and i wanted to go with a brand that has stood the test of time and that everyone knows.,test,positive
207,Very easy to usemy first time getting insurance online & as a new driver i found it very straight forward with clear and precise information,driver,positive
208,they would not honour the original quote even though the fault was with their website.,website,negative
209,great service very friendly staff had to call back to set up online account and was talked through the whole process over the phone which was very helpful indeed.,service,positive
210,I should stress that none of your operatives were anything other than professional - this relates to your management systems.,operatives,negative
211,Steve was very helpful and answered all the questions I had.,questions,positive
212,Easy website to navigate and use to obtain a quote and buy a policy.,policy,positive
213,The web site is very good  easy to access and user friendly.,web site,positive
214,Id like to personally Thank Ashley Kame  for all the information and details he gave me today regarding me setting up an insurance policy with you i came off the phone happy and jolly knowing it is all complete and made unstressful by your colleague Ashley.,insurance,positive
215,Great website insurance sorted in a few minutes.,website,positive
216,The insurance web site was very straight forward and easy to answer all questions.,web site,positive
217,Was answering in my own words but computer has intrupted \nme.,computer,positive
218,good excpt some screens from website print so small as to be illegible,screens,negative
219,Competitive quote listed with gocompare followed by a swift transfer through to an easy to use and efficient website - well done AXA,website,positive
220,I did all on the website and a helpful chap talked me through the policy and cover \nwould reccomend for easiness to access,chap,positive
221,I have another car insured with axa yet i still didnt get any discount from them.,axa,negative
222,First email query I submitted AXA took a week to reply.,query,positive
223,The person I spoke to was very friendly and made the whole process really pleasant.,process,positive
224,The work was carried out quickly and the workmanship was excellent.,work,positive
225,Easy to use website and answered my own queries online before purchase,queries,positive
226,I had good service up to the point of registering on line.once on the page to select a reminder question.Page would not accept my choice and therefore I could not get on line.Hopefully this problem will be rectified.,problem,negative
227,this is a comprehensive and easy site to navigate - good insurance and good price,insurance,positive
228,The service has been the best I have experienced in particular for my latest policy when I had a problem with Registration again the service provide by a lady called Laura was so very professional and I would have no problem recommending the company.,service,positive
229,Very quick and simple switch of home insurance and a big saving over my current supplier.,supplier,positive
230,Excellent customer service - answered phone quickly and efficiently dealt with my enquiries.,customer service,positive
231,good price simple to action and a reputable company.,price,positive
232,excellent service very simple to deal with on line and by phone brilliant idea of having your documents stored in your own account to download,deal,positive
233,Very easy to use website and a good price for the insurance,insurance,positive
234,Very easy to purchase online by far the cheapest deal out there for me policy emailed to me immediately,deal,positive
235,Paid online not happy that there is no warning of surcharge if you pay by credit card.,credit,negative
236,The cost went up from the original quote to buying two days later.,cost,negative
237,Happy to recommend this service as it was clear to see the cover that was included in the policy.,service,positive
238,Only problem is I didn't receive anything free.,problem,negative
239,Friendly staff on the phones will definatley be recommending,staff,positive
240,Easy to sort out excellent value and immediate decision.,decision,positive
241,Nice and easy no hassles and clearly laid out instructions all tied up with a wonderfully cheap bow,instructions,positive
242,Very friendly and helpful person on the phone when I called to take out the policy.,phone,positive
243,Competitive price quick and easy no problem,problem,positive
244,Dificulty is sending no claimns bonus details.,bonus,negative
245,Quote and add ons accepted on compare the market but when moved to provider site add on removed and price based on bsdic with no add on protection,provider,positive
246,Almost went with someone else as the no claims discount policy was unclear.,claims,negative
247,Also the price was reasonable for such a reputable company.,price,positive
248,Was really refreshing after having tried two other insurance companies before that had either put me on hold couldn't answer simple questions and took 10mins to answer the phone.,questions,positive
249,Unfortunately you are not offered a paper copy of your insurance documents although you are requested to forward a paper copy of your NCB proof - illogical and unfair to the customer.,insurance documents,negative
250,sadly i had to input the information twice as the payment wouldn't go through and just kept saying fatal error so eventually had to phone the company.,payment,negative
251,Good quote and good site to do comparisons,quote,positive
252,It was an online quote and so I just typed everything in then made the payments - easy!,payments,positive
253,Dead link to \ udate preferences\  once logged in.,link,negative
254,half decent service my gripes would be the following,service,negative
255,Fast and easy to use best experience I've had online shopping for insurance........also it is the exact price as stated on comparison site which is rare these days and cheapest by far.....easy to print off easy to understand would definitely recommend,experience,positive
256,\nThankfully I telephoned and a helpful agent suggested how to find all the information I had supplied and set up the insurance for me.,agent,positive
257,The proceedure was very easy it catered for all my car insurance requirements and the price was fantastic thanks AXA.,price,positive
258,I have tried to access my account at intervals with the same negative result and reported the problem again.,problem,negative
259,Right product - right price quick service good website.,service,positive
260,Quick service and easy transaction.,service,positive
261,Not always sure that I have filled in the form correctly and given them all the information they want so next time may do it by phone as we think perhaps we should have had more cover.,time,positive
262,Had I been given the correct renewal figure at the outset I would have stayed with my old insurer who I had been with for over 5 years.,figure,positive
263,It was very easy to arrange car insurance with you and at a great rate easy to do on line thankyou,car insurance,positive
264,Like the portal where you can see your insurance details and documents,insurance details,positive
265,The call handler was very helpful and explained clearly details about my insurance he also had very good telephone manner.,phone manner,positive
266,price was very competitive website was clear and easy to use.,price,positive
267,New cope stones lead and a damp proof course have been installed; no further water ingress.,course,negative
268,Extremely helpful when I made an error talked me through the steps to put things right,steps,positive
269,Great price easy to use web forms.,forms,positive
270,excellent service hope to get the same service should I ever have to put in a claim,service,positive
271,The officer who returned my call was helpful and informed me of the summary of the insurance that I was about to purchase explaining where necessary.,purchase,positive
272,The online questions were quick any easy and the benefits were great value.,benefits,positive
273,\nI had no complaints about anyone in fact found them to be the best team to deal with out of all the insurance companies I rang they all explained everything to me and were all so very pleasant WELL DONE TO YOU.,complaints,positive
274,Good price / good cover.,cover,positive
275,No very pleased that after 14 years of driving company cars that any no claims earned is not accepted despite written info from company insurer,company,negative
276,Not his fault but a little frustrating,fault,negative
277,Found axa very good and price competetive.,axa,positive
278,Price easy to use web site and speed of transaction.,transaction,positive
279,Very efficient servic with Joel giving step by step explanation on what he was doing during the process,process,positive
280,Saved me money even though my present insurer was giving me a loyalty discount.,loyalty,positive
281,Half what I was paying with my last insurers but better benefits.,insurers,positive
282,Full spec fully comp cover from a trusted company.,company,positive
283,Car insurance purchased online website was easy to understand and simple to complete quote was given quickly.,insurance purchase,positive
284,Very focused on getting us the right quote in quite tricky circumstances excellent customer service,customer service,positive
285,First class service from Axa and Loss Adjuster staff.,service,negative
286,After visiting various sites on the Internet I found the AXA site to be very straight forward and no problem to answer all the questions requested to insure my car.,questions,positive
287,The whole process was simple to follow and took minutes for a quote  unlike many other sites.,process,positive
288,very helpful  answered all my questions good value,value,positive
289,this was a very simple straight forward process nearly half the price of our previous insurers staff were very polite and helpful,price,positive
290,Excellent friendly customer service and s brilliant price well done Axa all round brilliant service,service,positive
291,Called the helpline - wow real people without dial 1 for this 2 for that blah blah - easy service; problem solved quickly; well done and thanks.,service,positive
292,I had a few questions so I phoned the customer service number they were very helpful and answered all my questions,customer service,positive
293,Axa offers a good product at a competitive price.,price,positive
294,Quick simple great cover decent price,price,positive
295,I didn't read any reviews about you or anyone else before deciding which insurer to go with my parents didn't read one my sister didn't read one and neither did any of the 20 people i work with so that is 0 out of 24 people read a review on insurance companies this month (to put that in context i saw an advert on tv yesterday stating that 71% of people reviewing an anti-wrinkle cream said it worked the sample size of that group was 24 people so a total of 14 out of 24 liked it and they base a tv advertising campaign on the back of that).,insurance,negative
296,Everything was good but had some problems with your website when trying to add another driver.,website,negative
297,Very fast and efficient  really pleased with the price and particularly enjoyed the added bonus of free cinema tickets.,cinema tickets,positive
298,The person I spoke to was very helpful and sorted out my queries efficiently,queries,positive
299,Super website & easy quote service,service,positive
300,The site provided good instruction and direction through the process.,process,positive
301,I found the girl I spoke to extremely helpful and from my experience I would use AXA again.,experience,positive
302,Then not long after our garage was broken into.,garage,negative
303,Comprehensive website and easy application form,application form,positive
304,The staff on the phone were brilliant as I am not good with computers they talked me through an excellent service,staff,positive
305,Great service and a great quote too.,service,positive
306,REALLY REALLY frustrating that insurance companies can't reward loyal customers by giving them better quotes rather than giving them one worse than new customers get going of the proviso that most can't be bothered to look for cheaper quotes and just go with the new price they've been given.,insurance,negative
307,quickvalue for moneybest on car insuranceeasy to apply for women friendly site & company.....thanks AXA,car insurance,positive
308,The website is easy to negotiate and the online form-filling straightforward.,website,positive
309,Neither was the cheapest available but I thought AXA looked good value for the cover offered.,value,positive
310,I use a password manager and am your advanced user but really struggled to find a combination that would fit - in the end it was (to me) a poor password of 10 characters and not a complicated password of 60 characters - you need to fix this!,password,positive
311,Samsung Edge phone damaged by dropping.,phone,negative
312,Straightforward questions....gave me the cover I needed as well as a loyalty bonus!!,questions,positive
313,I had a difficulty with the website and telephoned them.,website,negative
314,Easy to use website and realistic competitive quotation .,website,positive
315,Straight forward website for quote on home insurance no experience regarding customer services claims department or the like,experience,positive
316,I received an email immediately once I had purchased the product confirming the policy number which is really handly.,policy,positive
317,A pleasant hassle free transaction; no problems dealing with the operator who was courteous friendly and knew his business,operator,positive
318,AXAis a reknowned company with a good track record so when we found then at a very competitive rate when compared to our current insurer for exactly the same product we were delighted especially as it was considerably cheaper.,product,positive
319,Good service easy to use  website.However my first quote from Axa was reduced to Â£299 because I increased my voluntary excess to Â£500 but then revised quote did not reappear.,service,positive
320,Fast and pretty easy to complete the claim after losing an item,claim,positive
321,Great easy online service only gripe is your prices which are quite expensive!!,prices,positive
322,Easy to use web site made it easy to sort out my insurance,web site,positive
323,Easy to follow forms clearly specified items.,items,positive
324,It's not a complaint just an observation that sometimes people can't answer the phone but there was no reference number they gave me or voice message left.,people,negative
325,i will avoid using them ever again and am trying to cancel the policy (and am again not able to communicate with them).,policy,negative
326,On-line application was straightforward and insurance offered covered our needs at a reasonable premium,application,positive
327,Easy to follow online quotation and the prie of the policy was nearly 50% cheaper than our renewal (Direct Line) even with 1 claim.,claim,positive
328,Every time I try to retrieve my policy to print off it wont let me in on the page again so having to ring axa to help.,axa,negative
329,Very good service on information about car insurance very helpful on answers 4 questions,service,positive
330,great staff and great service,staff,positive
331,v competitive quote-saved a lot vs my renewal,renewal,positive
332,Made a quick call the lady i spoke sorted it out and mirrored both policies together and also pointed out i missed the ptotected no claims on second policy now all sorted.,policy,positive
333,No complaints so far except that I do not like having to keep looking on the internet for documentation.,internet,negative
334,I had problems logging on to my online account.,account,negative
335,I found their service very good with easy access to your questions many thanks sincerly R Dyer,access,positive
336,good web site fair price,web site,positive
337,It wasn't a problem for the sales person to answer any of my questions.,sales person,positive
338,Rate very competative and certificate and documentation available immediately.,documentation,positive
339,Great prices and a very good service,prices,positive
340,\n\nCompared to other providers I am pleased with the overall price and extras with the policy.,price,positive
341,very happy with the service despite me having problems with my printer trying to send evidence of my no claims data.,printer,positive
342,But had issues logging in and using my password.,issues,negative
343,Excellent customer service received from Elizabeth Driscoll.,service,positive
344,\nBy choosing the Axa quote from compare the market the policy cost me an additional Â£12 which I accepted to keep things simple.,policy,positive
345,very disappointed with your customer service especially a guy called James who changed his mind about my product I have now found out the product I had was hand painted and worth a lot more than what I was given.,customer service,negative
346,Being a senior citizen and never bought insurance on line I found this site to be very easy to use had all the information I needed  I also talked to a young lady named Ginette at axa she was a pleasure to talk to and extremely helpful I will cirtainly use this site again thank you very much.,information,positive
347,very helpful staff started quote on line but called AXA to clarify a question.,staff,positive
348,Been 6 days and I still cant view / print my policy details,policy details,negative
349,An excellent prompt service - offering me an very competitive price for my car insurance,price,positive
350,I wanted to pay by Barclays debit but it was refused not sure why as it's a valid.,debit,negative
351,I spoke with 3 people all together as I thought I had made a mistake in my application.,people,negative
352,\n\nThe woman who handled my call was professional and friendly ideal for selling insurance.,woman,positive
353,I have to waste a lot of time and telephone calls getting your original quote down.,telephone calls,negative
354,Good price easy to navigate website trusted insurer.,insurer,positive
355,Quick efficient service good product good value.,value,positive
356,Great service was not pushed into extras on my policy all so a good price printed all my documents off instantly also able to make changes to your policy without speaking to an adviser,changes,positive
357,Excellent internet service making car insurance easy without queuing on the end of the phone for hours,internet service,positive
358,Needed to increase cover but forced to cancel policy and start again rather than simply quote for extra and amend!,policy,positive
359,I emailed them requesting a reply and received a text message back(?),reply,negative
360,Nice website  very easy structure to questions.,website,positive
